record_id,timestamp_ns,timestamp_sec,world_frame,lidar_tx,lidar_ty,lidar_tz,lidar_qx,lidar_qy,lidar_qz,lidar_qw,lidar_cloud_file,point_count
27,1788253714197335296,1788253714.197335243,odom,-0.012681061448,-0.031405879736,0.058801465524,0.006451671765,-0.004808186209,-0.000370407977,0.999967559511,keyframes_lidar/keyframe_000027.pcd,3028
28,1788253719295564288,1788253719.295564413,odom,-0.013055293599,-0.031165211743,0.057723028988,0.006540438879,-0.004901100382,-0.000230998933,0.999966573698,keyframes_lidar/keyframe_000028.pcd,3067
29,1788253724297174272,1788253724.297174215,odom,-0.013326890799,-0.031943600539,0.058466827891,0.006485404853,-0.005125451996,0.000089732765,0.999965830023,keyframes_lidar/keyframe_000029.pcd,3055
30,1788253729297344256,1788253729.297344208,odom,-0.012933788281,-0.030301199043,0.057852278645,0.006570257164,-0.005447613874,-0.000083608116,0.999963573453,keyframes_lidar/keyframe_000030.pcd,3052
31,1788253734397606656,1788253734.397606611,odom,-0.011898963829,-0.030224844207,0.058334805968,0.006513557239,-0.005294863571,-0.000349017861,0.999964707466,keyframes_lidar/keyframe_000031.pcd,3057
32,1788253739496976640,1788253739.496976614,odom,-0.012942277597,-0.030186331615,0.058721134757,0.006547678751,-0.004886560098,-0.000417865552,0.999966536851,keyframes_lidar/keyframe_000032.pcd,3040
33,1788253744497364736,1788253744.497364759,odom,-0.012363082059,-0.031877506271,0.059109953694,0.006625354802,-0.005609557908,0.000041803213,0.999962317183,keyframes_lidar/keyframe_000033.pcd,3062
34,1788253749597170944,1788253749.597171068,odom,-0.011698029899,-0.029919469496,0.058460977722,0.006565394502,-0.005129237596,-0.000239186894,0.999965264050,keyframes_lidar/keyframe_000034.pcd,3049
35,1788253754597277952,1788253754.597277880,odom,-0.012914324089,-0.030854150827,0.057787364782,0.006579096750,-0.005347492111,-0.000341822222,0.999964000838,keyframes_lidar/keyframe_000035.pcd,3038
36,1788253759597334272,1788253759.597334146,odom,0.011852166179,-0.110384293259,0.058243981331,0.006676407820,-0.005019518622,-0.056575619195,0.998363375392,keyframes_lidar/keyframe_000036.pcd,3007
37,1788253764696696832,1788253764.696696758,odom,-0.282408328640,0.326492071206,0.062364433925,0.006313090352,-0.005541975201,0.308357097947,0.951233584114,keyframes_lidar/keyframe_000037.pcd,3009
38,1788253769697234432,1788253769.697234392,odom,0.026570662094,-0.331187153592,0.059013435437,0.005778237499,-0.005588715019,-0.208061539880,0.978082702975,keyframes_lidar/keyframe_000038.pcd,3052
39,1788253774796876032,1788253774.796875954,odom,-0.155871419293,-0.750804793346,0.056543036933,0.003482400806,-0.004606491389,-0.510065293264,0.860116300118,keyframes_lidar/keyframe_000039.pcd,3106
40,1788253779896668160,1788253779.896668196,odom,-0.029616208932,-0.978412071798,0.055860642541,0.003689462287,-0.005333851630,-0.511467444481,0.859278180295,keyframes_lidar/keyframe_000040.pcd,3074
41,1788253784996874496,1788253784.996874571,odom,0.007183337642,-1.268691438768,0.055135748047,0.002915540686,-0.006043894339,-0.579219812559,0.815143778546,keyframes_lidar/keyframe_000041.pcd,3049
42,1788253790096407808,1788253790.096407890,odom,0.003558624094,-1.644702414334,0.054864488999,0.002692767705,-0.005031930600,-0.654867495613,0.755722165790,keyframes_lidar/keyframe_000042.pcd,3080
43,1788253795096792576,1788253795.096792459,odom,0.004527681366,-1.650366442141,0.052345704569,0.002441315387,-0.004921817111,-0.655148388794,0.755480247496,keyframes_lidar/keyframe_000043.pcd,3076
44,1788253800196410112,1788253800.196410179,odom,0.042836122160,-1.871088368516,0.051505880595,0.002664114655,-0.004416241754,-0.652751451101,0.757554580467,keyframes_lidar/keyframe_000044.pcd,3132
45,1788253805197476096,1788253805.197476149,odom,0.117952381157,-2.088416601505,0.061517110531,-0.000784904241,-0.008194337599,-0.627336031805,0.778705168825,keyframes_lidar/keyframe_000045.pcd,2926
