record_id,timestamp_ns,timestamp_sec,world_frame,lidar_tx,lidar_ty,lidar_tz,lidar_qx,lidar_qy,lidar_qz,lidar_qw
0,1788253577697748480,1788253577.697748423,odom,-0.011559134142,-0.023858449503,0.044226383554,0.007021275980,-0.006450501394,-0.000010421091,0.999954545270
1,1788253577797443840,1788253577.797443867,odom,-0.017099579756,-0.026511348417,0.065896582856,0.006906932169,-0.003281639990,-0.000221930451,0.999970737509
2,1788253577897514752,1788253577.897514820,odom,-0.014382089626,-0.035438352395,0.056100071641,0.006564099662,-0.003440812292,-0.000618524807,0.999972345034
3,1788253577997741824,1788253577.997741938,odom,-0.009330124132,-0.036100280653,0.047871118280,0.005748237481,-0.006111510686,-0.000134128864,0.999964793986
4,1788253578097874944,1788253578.097874880,odom,-0.008406653532,-0.026025624086,0.044336404654,0.007015623856,-0.005329311711,-0.000306296546,0.999961142066
5,1788253578197641728,1788253578.197641850,odom,-0.013350799070,-0.026677023998,0.051331646493,0.006695927160,-0.003155453770,-0.000490558445,0.999972483133
6,1788253578296753920,1788253578.296753883,odom,-0.014674414941,-0.030194837113,0.050976693723,0.005904669179,-0.004887039703,0.000185558627,0.999970608214
7,1788253578395665408,1788253578.395665407,odom,-0.013180706002,-0.028288576424,0.048854031097,0.006621145922,-0.006160538617,0.000076758769,0.999959100313
8,1788253578495897344,1788253578.495897293,odom,-0.015515634845,-0.029503619123,0.054797785720,0.006936939805,-0.003531903772,-0.000601899826,0.999969520655
9,1788253578597865472,1788253578.597865582,odom,-0.015363346323,-0.034194194622,0.057976073241,0.006592742529,-0.004242136593,-0.000224626369,0.999969244310
10,1788253578697556992,1788253578.697556973,odom,-0.012535883162,-0.029885093866,0.057919496426,0.006301806889,-0.006277747020,-0.000026339559,0.999960437432
11,1788253578797331456,1788253578.797331333,odom,-0.010793807182,-0.028074154357,0.057187963239,0.007016603807,-0.005904543007,-0.000022586803,0.999957950682
12,1788253578897575168,1788253578.897575140,odom,-0.013511994405,-0.028956109124,0.060193160539,0.006649425419,-0.003374546550,-0.000601207185,0.999972017672
13,1788253578997480704,1788253578.997480631,odom,-0.013899990871,-0.031446202410,0.059407601607,0.005979643365,-0.005541260503,-0.000237074857,0.999966740493
14,1788253579097353216,1788253579.097353220,odom,-0.012661189062,-0.030014820165,0.057631866069,0.006606440443,-0.005859227700,-0.000435509164,0.999960916600
15,1788253579197385728,1788253579.197385788,odom,-0.014626867824,-0.028952667801,0.061379470245,0.006567549799,-0.003702232737,-0.000413444354,0.999971494507
16,1788253579297814016,1788253579.297813892,odom,-0.014525854510,-0.030685532485,0.061887523434,0.006461887887,-0.005074131263,-0.000475059676,0.999966135184
17,1788253579397917440,1788253579.397917509,odom,-0.013050597584,-0.029329535914,0.059609330379,0.006415824394,-0.006405820382,0.000570527394,0.999958737729
18,1788253579497773056,1788253579.497772932,odom,-0.012036218803,-0.029276521469,0.059835901456,0.006879299731,-0.005176957724,-0.000657469372,0.999962720344
19,1788253579597468928,1788253579.597468853,odom,-0.013420377995,-0.028486006772,0.060378827344,0.006601513264,-0.004246576518,-0.000497033265,0.999969069306
20,1788253579697258240,1788253579.697258234,odom,-0.012286250452,-0.028974182739,0.058614466550,0.006308275502,-0.005920893039,0.000066329157,0.999962571443
21,1788253579797554176,1788253579.797554255,odom,-0.011797557721,-0.028443370862,0.058130164867,0.006960225740,-0.006052740762,-0.000128896974,0.999957450581
22,1788253579897461504,1788253579.897461414,odom,-0.013628392626,-0.028445237412,0.059907369013,0.006512595467,-0.003635362336,-0.000544750875,0.999972036353
23,1788253579997286912,1788253579.997286797,odom,-0.013689434810,-0.029698824193,0.058933880482,0.006364739673,-0.005410747382,-0.000014362647,0.999965106239
24,1788253580097709824,1788253580.097709894,odom,-0.012150959379,-0.029115629939,0.056769244606,0.006792225231,-0.006771390087,-0.000034073795,0.999954005338
25,1788253580195976192,1788253580.195976257,odom,-0.012873419028,-0.029115390751,0.056882987641,0.006882002367,-0.004027907557,-0.000331559232,0.999968151529
26,1788253580296334848,1788253580.296334743,odom,-0.013918284792,-0.029645294217,0.057638063133,0.006547699881,-0.003867689844,-0.000633248029,0.999970883375
27,1788253580397763072,1788253580.397763014,odom,-0.013388510914,-0.029117912244,0.056297561378,0.006251853125,-0.005761304778,-0.000003432106,0.999963860191
28,1788253580497613312,1788253580.497613430,odom,-0.013615448437,-0.029023773583,0.056269143123,0.006907714320,-0.005055238517,-0.000315606746,0.999963313546
29,1788253580597323008,1788253580.597322941,odom,-0.014764108936,-0.028876384817,0.057818255995,0.006533896970,-0.003618974982,-0.000623318704,0.999971910948
30,1788253580697356800,1788253580.697356701,odom,-0.014300219549,-0.029879636604,0.058165748785,0.006320754508,-0.004714512163,-0.000529954276,0.999968769805
31,1788253580797446144,1788253580.797446251,odom,-0.013542168955,-0.030014031334,0.056994331067,0.006467289630,-0.006297426852,0.000522141863,0.999959121138
32,1788253580897737728,1788253580.897737741,odom,-0.013943879889,-0.030033366738,0.058641264760,0.006819286036,-0.004342728670,-0.000363385865,0.999967252462
33,1788253580997145088,1788253580.997145176,odom,-0.014073029674,-0.030327082422,0.059355817969,0.006449913431,-0.004796484757,-0.000493592198,0.999967573833
34,1788253581097211136,1788253581.097211123,odom,-0.012578834426,-0.030986977820,0.058560284177,0.006487140151,-0.006061476138,0.000043329962,0.999960586044
35,1788253581195525888,1788253581.195525885,odom,-0.012548677345,-0.029245856841,0.058634116112,0.006828888560,-0.005362314409,0.000338739387,0.999962247848
36,1788253581297344256,1788253581.297344208,odom,-0.013549376995,-0.029765883301,0.058946055536,0.006571986954,-0.003867173860,-0.000895640546,0.999970525457
37,1788253581397347840,1788253581.397347927,odom,-0.014137233993,-0.030350389642,0.058281475990,0.006246610830,-0.005377706995,0.000261419866,0.999965995312
38,1788253581497710592,1788253581.497710705,odom,-0.013491286969,-0.030180052496,0.057664670408,0.006608202593,-0.005635223467,0.000179018174,0.999962271222
39,1788253581597117696,1788253581.597117662,odom,-0.013977358337,-0.030389153468,0.058730150133,0.006848615632,-0.004384790889,-0.000299336262,0.999966889687
40,1788253581697457664,1788253581.697457790,odom,-0.014664799064,-0.030457041930,0.059595774071,0.006409824430,-0.004626682704,-0.000105179070,0.999968747959
41,1788253581797664512,1788253581.797664404,odom,-0.014175103501,-0.029711253111,0.057096857130,0.006549077476,-0.005784456889,0.000147116546,0.999961813271
42,1788253581897186560,1788253581.897186518,odom,-0.014076971949,-0.028510465102,0.057835792389,0.006577351134,-0.004985139437,0.000315670128,0.999965893013
43,1788253581997592576,1788253581.997592688,odom,-0.014872513939,-0.028204661553,0.058333426350,0.006643224957,-0.004024236481,0.000141448416,0.999969826082
44,1788253582097026560,1788253582.097026587,odom,-0.015380348485,-0.028250458679,0.058155627088,0.006507774516,-0.005437344904,0.000172321432,0.999964026581
45,1788253582197332224,1788253582.197332144,odom,-0.014018297211,-0.029067628209,0.057482701632,0.006511453227,-0.005957233298,-0.000016159451,0.999961055285
46,1788253582297455104,1788253582.297455072,odom,-0.013186930822,-0.029569532502,0.057893249737,0.006634587290,-0.004811348872,-0.000835932748,0.999966066619
47,1788253582397693184,1788253582.397693157,odom,-0.012644067476,-0.030086160473,0.058217558679,0.006383037021,-0.004868243640,-0.000387062487,0.999967703091
48,1788253582497484800,1788253582.497484922,odom,-0.011506712777,-0.030950641736,0.057583958706,0.006611708804,-0.005993032292,-0.000256524035,0.999960150739
49,1788253582597920768,1788253582.597920895,odom,-0.010618542428,-0.030295094986,0.057082307804,0.006701604075,-0.005489307967,-0.000475603560,0.999962364193
50,1788253582697898496,1788253582.697898388,odom,-0.011664019236,-0.031003925476,0.058247737158,0.006608315191,-0.004513112876,-0.000433392092,0.999967886561
51,1788253582797696512,1788253582.797696590,odom,-0.012865708594,-0.030608581975,0.058451428404,0.006478539583,-0.005295894659,-0.000104528418,0.999964984936
52,1788253582897482752,1788253582.897482634,odom,-0.012647670425,-0.030402059160,0.057858456055,0.006698310563,-0.005464987133,-0.000191971282,0.999962614150
53,1788253582997678080,1788253582.997678041,odom,-0.012867559746,-0.029849207253,0.058743241214,0.006694155407,-0.004888214192,-0.000404362341,0.999965564475
54,1788253583097293824,1788253583.097293854,odom,-0.013728108230,-0.029382950388,0.059759181167,0.006577230360,-0.004583478649,-0.000168391647,0.999967851187
55,1788253583197484288,1788253583.197484255,odom,-0.013827418480,-0.029779193564,0.058782689804,0.006496851093,-0.005715379693,0.000070106734,0.999962559522
56,1788253583297339904,1788253583.297339916,odom,-0.013489091803,-0.029058360842,0.058870809575,0.006605649943,-0.005284346663,-0.000028269130,0.999964219495
57,1788253583397212416,1788253583.397212505,odom,-0.013564114167,-0.028235491029,0.058828964682,0.006618185307,-0.004450082973,-0.000349357947,0.999968136659
58,1788253583497797376,1788253583.497797489,odom,-0.013799858807,-0.028715060303,0.058519663072,0.006467192152,-0.004987995174,-0.000058702781,0.999966645386
59,1788253583597720832,1788253583.597720861,odom,-0.013545016046,-0.028787132572,0.057369349216,0.006504383987,-0.005761671309,0.000497229936,0.999962123730
60,1788253583697115904,1788253583.697115898,odom,-0.013745304056,-0.028018878710,0.058172573568,0.006808895019,-0.005152280156,-0.000062322445,0.999963543872
61,1788253583797598976,1788253583.797599077,odom,-0.014419977999,-0.027977192959,0.059058044442,0.006530079204,-0.004709682975,0.000099355202,0.999967583015
62,1788253583897546240,1788253583.897546291,odom,-0.013729991257,-0.028223330169,0.057767155349,0.006577975926,-0.005798479720,0.000137015270,0.999961543807
63,1788253583997648640,1788253583.997648716,odom,-0.013436329749,-0.028734347365,0.057003550922,0.006717220927,-0.005409371617,-0.000054045447,0.999962806669
64,1788253584097325568,1788253584.097325563,odom,-0.014383596585,-0.029665094670,0.057408254514,0.006617424685,-0.004167460847,-0.000665951297,0.999969198760
65,1788253584196554752,1788253584.196554661,odom,-0.014855268172,-0.030817516033,0.057912219832,0.006416323019,-0.005020842854,0.000251386311,0.999966778819
66,1788253584297158400,1788253584.297158480,odom,-0.014177683281,-0.030484073787,0.057122292375,0.006614787414,-0.005754755186,0.000137952540,0.999961553436
67,1788253584397438720,1788253584.397438765,odom,-0.013759225436,-0.030162409232,0.057564965755,0.006817356529,-0.004995579104,-0.000186765379,0.999964265841
68,1788253584497790976,1788253584.497791052,odom,-0.014071755285,-0.030947243152,0.057762210882,0.006421185779,-0.004362490395,-0.000329732604,0.999969813708
69,1788253584597759488,1788253584.597759485,odom,-0.014558493750,-0.030564993044,0.057861408980,0.006521004934,-0.005195089722,-0.000192244387,0.999965224685
70,1788253584697231360,1788253584.697231293,odom,-0.013757002879,-0.029901358177,0.057605585837,0.006699022794,-0.005051451453,-0.000163297777,0.999964789013
71,1788253584797572096,1788253584.797572136,odom,-0.013920947609,-0.030242517575,0.057302258694,0.006518747433,-0.004317843561,-0.000501611040,0.999969304802
72,1788253584897660928,1788253584.897660971,odom,-0.013280953921,-0.029726319784,0.056478621608,0.006396287928,-0.005322340144,0.000422505917,0.999965290240
73,1788253584997430272,1788253584.997430325,odom,-0.013162596680,-0.029500945696,0.055567848062,0.006593130275,-0.005310790558,0.000234787855,0.999964134863
74,1788253585097726976,1788253585.097727060,odom,-0.014174043414,-0.029597862523,0.056452268403,0.006582687231,-0.004456719738,-0.000118823118,0.999968395380
