keyframe_id,timestamp_ns,timestamp_sec,map_frame,lidar_tx,lidar_ty,lidar_tz,lidar_qx,lidar_qy,lidar_qz,lidar_qw,lidar_cloud_file,point_count
0,1788253577697748480,1788253577.697748423,map,-0.011559134142433078,-0.023858449503446677,0.04422638355382702,0.00702127597962975,-0.00645050139354743,-1.042109076155886e-05,0.9999545452703291,keyframes_lidar/keyframe_000000.pcd,3038
1,1788253582697898496,1788253582.697898388,map,-0.01166402253696745,-0.031003926483037635,0.0582477356796548,0.006608315910255096,-0.004513111150565296,-0.0004334365498836883,0.9999678865450282,keyframes_lidar/keyframe_000001.pcd,3060
2,1788253587797649664,1788253587.797649622,map,-0.013870078141789097,-0.028637874136023613,0.05536926499882667,0.006455188493938002,-0.005407838216857785,0.0003052482870399302,0.9999644956951278,keyframes_lidar/keyframe_000002.pcd,3063
3,1788253592797704192,1788253592.797704220,map,-0.012723158005194635,-0.02938004385238908,0.057022828816864234,0.0066402810155639785,-0.004773036500487771,-8.762270531457326e-05,0.9999665579972467,keyframes_lidar/keyframe_000003.pcd,3043
4,1788253597897544960,1788253597.897544861,map,-0.012321720946794085,-0.02981175213585243,0.05784501911526303,0.006705947233188481,-0.00530945764545967,-0.00021517181422091145,0.9999633961462325,keyframes_lidar/keyframe_000004.pcd,3058
5,1788253602997635328,1788253602.997635365,map,-0.01249907913221667,-0.0321125977084073,0.05840201936947904,0.006626259728612651,-0.005756522418367328,-4.31442864880828e-05,0.9999614758930598,keyframes_lidar/keyframe_000005.pcd,3102
6,1788253608097356288,1788253608.097356319,map,-0.012272275385630407,-0.03142727608648297,0.05845185535850342,0.006572833890455831,-0.00495426525502056,-0.00045306205832551646,0.9999660233453949,keyframes_lidar/keyframe_000006.pcd,3023
7,1788253613197507072,1788253613.197507143,map,-0.013846929209297315,-0.029879475148873298,0.058030498413403686,0.006651623778136806,-0.004917954107193743,-0.00048037515531607907,0.9999656688447979,keyframes_lidar/keyframe_000007.pcd,3084
8,1788253618197527040,1788253618.197526932,map,-0.013696421372077085,-0.031210756343301883,0.058355173453181364,0.006625199505801485,-0.005439683850258463,0.00016674640944382957,0.9999632437078638,keyframes_lidar/keyframe_000008.pcd,3081
9,1788253623297146880,1788253623.297146797,map,-0.013670211730712686,-0.030083362310096177,0.05856822508503604,0.0065943140425906484,-0.004691470754124585,-0.00013767216328522335,0.9999672425488978,keyframes_lidar/keyframe_000009.pcd,3037
10,1788253628297162240,1788253628.297162294,map,-0.013603363041370511,-0.030426874907539408,0.05791136711786534,0.006514076034064472,-0.005313064130518244,4.298660156031304e-05,0.9999646675333682,keyframes_lidar/keyframe_000010.pcd,3028
11,1788253633397008640,1788253633.397008657,map,-0.013203253548750312,-0.030442907602047573,0.05874482913491233,0.006525581085681,-0.004863562839439026,-0.0003786641865518454,0.9999668090298973,keyframes_lidar/keyframe_000011.pcd,3042
12,1788253638496936448,1788253638.496936321,map,-0.01256705603341506,-0.030032711113291838,0.05820596033926756,0.006630118366159742,-0.0048882397306490265,-0.00038661811049215213,0.9999659980065437,keyframes_lidar/keyframe_000012.pcd,3091
13,1788253643497050368,1788253643.497050285,map,-0.012318511477266252,-0.03145214625233661,0.05845359476612146,0.006440806438676888,-0.004855698041937674,-0.00014753049113737637,0.9999674576923487,keyframes_lidar/keyframe_000013.pcd,3047
14,1788253648596546048,1788253648.596546173,map,-0.01452206519287915,-0.029948400371392268,0.058072450718379486,0.006543976248263418,-0.004593732028000419,-0.00016554770847195912,0.9999680227861657,keyframes_lidar/keyframe_000014.pcd,3049
15,1788253653596652800,1788253653.596652746,map,-0.013016043173607795,-0.03140684769047224,0.058206418930357766,0.006576490296958247,-0.005483636032745767,7.331202302476125e-05,0.999963336396181,keyframes_lidar/keyframe_000015.pcd,3045
16,1788253658695479040,1788253658.695479155,map,-0.013307087806057522,-0.030511325563759784,0.05818085513364552,0.0066355169262669305,-0.004795595541362328,-0.0001284160114494983,0.9999664772820401,keyframes_lidar/keyframe_000016.pcd,3027
17,1788253663696542720,1788253663.696542740,map,-0.013201681680563584,-0.03071043635437483,0.058028868698941895,0.006579950833282897,-0.005486182091147778,-3.672142781620463e-05,0.9999633016789321,keyframes_lidar/keyframe_000017.pcd,3072
18,1788253668795493120,1788253668.795493126,map,-0.013023962320175095,-0.03154444541128958,0.05861630670175497,0.006581844224280744,-0.005047819151152103,-4.200669005435789e-05,0.9999655979501808,keyframes_lidar/keyframe_000018.pcd,3029
19,1788253673796314624,1788253673.796314716,map,-0.013494764638715994,-0.03067440905172587,0.05760803008455724,0.0065914798939841574,-0.005269711148859881,-0.000113444921285909,0.9999643841994897,keyframes_lidar/keyframe_000019.pcd,3055
20,1788253678796448256,1788253678.796448231,map,-0.01349061300637459,-0.03099827653267167,0.058313325694946475,0.0065613485243880484,-0.004792051832478833,-0.0003113340157756555,0.9999669434615862,keyframes_lidar/keyframe_000020.pcd,3018
21,1788253683796927744,1788253683.796927691,map,-0.012657604472419457,-0.03185025653884562,0.05730255770416259,0.0065850422551060935,-0.005330409177550763,-0.00017782355583560304,0.9999640955230751,keyframes_lidar/keyframe_000021.pcd,3039
22,1788253688797452800,1788253688.797452688,map,-0.012784700151728563,-0.03185620647759328,0.058198180153900325,0.006605551422831489,-0.004832056482721367,-0.0002820542024965279,0.9999664686208108,keyframes_lidar/keyframe_000022.pcd,3049
23,1788253693897240576,1788253693.897240639,map,-0.013647747864531257,-0.02982334827906501,0.05806450402841645,0.006551958062791677,-0.005498860762427625,0.000209617394221362,0.999963394548224,keyframes_lidar/keyframe_000023.pcd,3046
24,1788253698897317120,1788253698.897317171,map,-0.012209458077071652,-0.030838292641820274,0.057920401834247834,0.0066162102175764004,-0.004998632358556351,-0.0005829500599609741,0.9999654492061857,keyframes_lidar/keyframe_000024.pcd,3029
25,1788253704097244416,1788253704.097244501,map,-0.011947209603271485,-0.03183885278704652,0.05910170123222359,0.0067142775216087885,-0.005083998061349253,-0.0004774423619996315,0.9999644211120043,keyframes_lidar/keyframe_000025.pcd,3036
26,1788253709197125632,1788253709.197125673,map,-0.01317762268944817,-0.030544982406579324,0.05810728939995992,0.006584746783078941,-0.005298561746122154,-9.814617410263106e-07,0.9999642825382625,keyframes_lidar/keyframe_000026.pcd,3058
27,1788253714197335296,1788253714.197335243,map,-0.012681107083432059,-0.03140588176514454,0.05880143734294089,0.006451706458943187,-0.004808037005131269,-0.0003704576373772951,0.9999675599863548,keyframes_lidar/keyframe_000027.pcd,3028
28,1788253719295564288,1788253719.295564413,map,-0.013055340144473165,-0.031165212733694936,0.05772300016683427,0.006540475489882951,-0.004900944945525467,-0.00023099645406928203,0.9999665742211814,keyframes_lidar/keyframe_000028.pcd,3067
29,1788253724297174272,1788253724.297174215,map,-0.013326937719974792,-0.03194360062376476,0.058466798258864645,0.006485443749020011,-0.005125290553883421,8.978738443005336e-05,0.999965830593397,keyframes_lidar/keyframe_000029.pcd,3055
30,1788253729297344256,1788253729.297344208,map,-0.012933836214036452,-0.030301198073791363,0.057852248191911856,0.006570298409965028,-0.005447447372230017,-8.35008248431221e-05,0.9999635740983484,keyframes_lidar/keyframe_000030.pcd,3052
31,1788253734397606656,1788253734.397606611,map,-0.011899011039181237,-0.03022484186074481,0.05833477435664233,0.006513600572836348,-0.0052946926149594125,-0.0003488587428937274,0.9999647081448766,keyframes_lidar/keyframe_000031.pcd,3057
32,1788253739496976640,1788253739.496976614,map,-0.012942326261910803,-0.030186328567069515,0.05872110259954767,0.006547724147780315,-0.004886385246099778,-0.00041765195274161076,0.9999665374974093,keyframes_lidar/keyframe_000032.pcd,3040
33,1788253744497364736,1788253744.497364759,map,-0.01236312902573217,-0.03187750167140198,0.05910992037344063,0.006625402586949984,-0.005609378740130666,4.2068557110920037e-05,0.9999623178605017,keyframes_lidar/keyframe_000033.pcd,3062
34,1788253749597170944,1788253749.597171068,map,-0.011698079752903764,-0.02991946337122298,0.05846094340328241,0.006565444136728882,-0.005129054359626727,-0.00023886677327319145,0.9999652647403949,keyframes_lidar/keyframe_000034.pcd,3049
35,1788253754597277952,1788253754.597277880,map,-0.012914372620636827,-0.03085414410485151,0.05778732994386176,0.006579148264842292,-0.005347304873113433,-0.00034144932984020367,0.9999640016275878,keyframes_lidar/keyframe_000035.pcd,3038
36,1788253759597334272,1788253759.597334146,map,0.011852176910799126,-0.11038426692505164,0.0582439285615157,0.006676450106327509,-0.00501932508953801,-0.05657519254019165,0.9983634002599774,keyframes_lidar/keyframe_000036.pcd,3007
37,1788253764696696832,1788253764.696696758,map,-0.2824087022812184,0.3264918520952793,0.062364535039384605,0.0063132036105853166,-0.005541802857338461,0.30835763476170186,0.9512334103496526,keyframes_lidar/keyframe_000037.pcd,3009
